season 2013 MIA | SF 14  -  15 7 62 8.9 0 1 9 9.0 0 10.6 0.8
    week 1 GB W 34-28 1 0 0 - 0 0 0 - 0 0.0
    week 2 at SEA L 3-29 1 1 6 6.0 0 0 0 - 0 1.1
    week 3 IND L 7-27 1 0 0 - 0 0 0 - 0 0.0
    week 6 ARI W 32-20 1 0 0 - 0 1 9 9.0 0 0.9
season 2012 MIA 8  -  11 6 116 19.3 1 1 9 9.0 0 21.5 2.7
    week 6 STL W 17-14 3 3 46 15.3 1 0 0 - 0 12.1
    week 8 at NYJ W 30-9 1 1 37 37.0 0 0 0 - 0 4.2
    week 9 at IND L 20-23 1 0 0 - 0 0 0 - 0 0.0
    week 11 at BUF L 14-19 1 0 0 - 0 0 0 - 0 0.0
    week 12 SEA W 24-21 0 0 0 - 0 1 9 9.0 0 0.9
    week 14 at SF L 13-27 1 0 0 - 0 0 0 - 0 0.0
    week 15 JAC W 24-3 2 2 33 16.5 0 0 0 - 0 4.3
    week 16 BUF W 24-10 2 0 0 - 0 0 0 - 0 0.0
season 2011 MIA 6 0 0 0 0 - 0 0 0 - 0 0.0 0.0
season 2010 MIA 9 0 19 6 128 21.3 1 1 16 16.0 0 23.4 2.6
